index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
271,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:10:05.800000000
272,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:10:34.600000000
273,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:11:03.400000000
274,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:11:32.200000000
275,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:12:01.000000000
276,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:12:29.800000000
277,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:12:58.600000000
278,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:13:27.400000000
279,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:13:56.200000000
280,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:14:25.000000000
281,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:14:53.800000000
282,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:15:22.600000000
283,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:15:51.400000000
284,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:16:20.200000000
285,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:16:49.000000000
286,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:17:17.800000000
287,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:17:46.600000000
288,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:18:15.400000000
289,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:18:44.200000000
290,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:19:13.000000000
291,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:19:41.800000000
292,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:20:10.600000000
293,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:20:39.400000000
294,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:21:08.200000000
295,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:21:37.000000000
296,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:22:05.800000000
297,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:22:34.600000000
298,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:23:03.400000000
